Species_Bologna,Closest_Species,Similarity_Score
Prunus cerasifera (var. Pissardi),Prunus cerasifera 'Nigra' ,75
Fraxinus ornus,Fraxinus ornus ,100
Fraxinus excelsior,Fraxinus excelsior ,100
Acer campestre,Acer campestre ,100
Aesculus hippocastanum,Aesculus hippocastanum ,100
Pyrus calleriana “chanticlaire”,Pyrus calleryana 'Chanticleer' ,88
Cercis siliquastrum,Cercis siliquastrum ,100
Cydonia oblonga,Cydonia oblonga ,100
Fraxinus oxycarpa,Fraxinus ornus ,71
Platanus acerifolia,Platanus x acerifolia ,95
Fraxinus angustifolia,Fraxinus angustifolia ,100
Ulmus carpinifolia (campestre),Ulmus minor 'Dampieri' ,62
Acer negundo,Acer negundo ,100
Gingko biloba,Ginkgo biloba ,92
Prunus laurocerasus,Prunus cerasus ,85
Populus canescens,Populus x canescens ,94
Prunus avium,Prunus avium ,100
Quercus ilex,Quercus ilex ,100
Magnolia grandiflora,Magnolia grandiflora ,100
Corylus avellana,Corylus colurna ,71
Celtis australis,Celtis australis ,100
Populus nigra,Populus nigra ,100
Acer saccharinum,Acer saccharinum ,100
Robinia pseudoacacia,Robinia pseudoacacia ,100
Cupressus sempervirens,Buxus sempervirens ,80
Tilia platyphyllos,Tilia platyphyllos ,100
Populus alba,Populus alba ,100
Carpinus betulus,Carpinus betulus ,100
Tilia intermedia,Sorbus intermedia ,67
Sophora japonica,Sophora japonica ,100
Tamarix spp.,Tamarix spec. ,87
Ailanthus altissima,Ailanthus altissima ,100
Cedrus deodara,Cedrus deodara ,100
Broussonetia papyrifera,Broussonetia papyrifera ,100
Catalpa bignoniodes,Catalpa bignonioides ,97
Populus nigra 'Italica',Populus nigra 'Italica' ,100
Quercus robur,Quercus robur ,100
Morus sspp,Morus spec. ,80
Tilia cordata,Tilia cordata ,100
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana ,100
Prunus sp,Prunus spec. ,90
Morus alba,Morus alba ,100
Morus nigra,Morus nigra ,100
Thuia occidentalis,Thuja occidentalis ,94
Mespilus germanica,Mespilus germanica ,100
Abies nordmanniana,Abies nordmanniana ,100
Gleditschia triacanthos,Gleditsia triacanthos ,95
Pyrus communis,Pyrus communis ,100
Platanus orientalis,Platanus orientalis ,100
Prunus domestica,Prunus domestica ,100
Ficus carica,Ficus carica ,100
Prunus armeniaca,Prunus armeniaca ,100
Malus domestica,Malus domestica ,100
Sambucus nigra,Sambucus nigra ,100
Cupressus sempervirens piramidalis,Cupressus sempervierens 'Pyramidalis' ,96
Sophora japonica pendula,Sophora japonica 'Pendula' ,100
Acer freemanii,Acer x freemanii ,93
Fraxinus intermedia,Fraxinus spec. ,62
Quercus rubra,Quercus rubra ,100
Ulmus pumila (siberiano),Ulmus pumila ,71
Acer pseudoplatanus,Acer pseudoplatanus ,100
Cedrus atlantica,Cedrus atlantica ,100
Cedrus libani,Cedrus libani ,100
Pinus nigra,Pinus nigra ,100
Ulmus sp,Ulmus spec. ,89
Pinus pinea,Pinus nigra ,73
Aesculus x carnea,Aesculus x carnea ,100
Maclura Pomifera,Maclura pomifera ,100
Populus tremula,Populus tremula ,100
Salix alba,Salix alba ,100
Pterocarya frassinifolia,Pterocarya fraxinifolia ,94
Fraxinus americana,Fraxinus americana ,100
Ulmus laevis (olmo bianco o olmo ciliato),Ulmus laevis ,47
Alnus glutinosa,Alnus glutinosa ,100
Taxodium distichum,Taxodium distichum ,100
Paulownia tomentosa,Paulownia tomentosa ,100
Juglans nigra,Juglans nigra ,100
Quercus pubescens,Quercus pubescens ,100
Populus alba 'Bolleana',Populus alba 'Nivea' ,77
Laburnum anagyroides (incluso L. alpinum),Laburnum anagyroides ,69
Ostrya carpinifolia,Ostrya carpinifolia ,100
Crataegus monogyna,Crataegus monogyna ,100
Carpinus betulus 'Fastigiata',Carpinus betulus 'Fastigiata' ,100
Taxus baccata,Taxus baccata ,100
Acer platanoides,Acer platanoides ,100
Liriodendron tulipifera,Liriodendron tulipifera ,100
Salix matsudana 'Tortuosa',Salix matsudana 'Tortuosa' ,100
Picea abies,Picea abies ,100
Quercus robur 'Fastigiata',Quercus robur 'Fastigiata' ,100
Malus profusion,Prunus padus ,59
Prunus sargentii var. « Yedoensis »,Prunus x yedoensis ,71
Albizia julibrissin,Albizia julibrissin ,100
Juglans regia,Juglans regia ,100
Taxus baccata 'Fastigiata',Taxus baccata 'Dovastoniana' ,80
