Tree ID;Species Name;Carbon Storage (lb);% of Total
6;Tamarisk spp;4,0;0,0
7;Common fig;51,0;0,0
8;Tamarisk spp;4,0;0,0
12;Black locust;57,7;0,0
17;Common plum;77,3;0,0
19;Common plum;77,3;0,0
25;English walnut;301,4;0,0
28;European black elderberry;4,3;0,0
30;Common plum;77,3;0,0
42;English walnut;1.050,4;0,0
44;Common fig;272,4;0,0
47;Japanese persimmon;31,9;0,0
52;Tree of heaven;283,7;0,0
54;European turkey oak;18,2;0,0
55;European filbert;8,2;0,0
61;Tree of heaven;283,7;0,0
62;European turkey oak;18,2;0,0
64;English oak;14,8;0,0
65;European turkey oak;18,2;0,0
75;Plum spp;418,2;0,0
76;Plum spp;418,2;0,0
78;Plum spp;418,2;0,0
79;Plum spp;77,3;0,0
81;Plum spp;5,3;0,0
94;European filbert;64,6;0,0
99;English oak;14,8;0,0
100;English oak;14,8;0,0
106;Plum spp;77,3;0,0
107;Common fig;272,4;0,0
108;White mulberry;4,8;0,0
112;Black poplar;1.707,2;0,0
115;White mulberry;4,8;0,0
118;European black elderberry;47,1;0,0
119;Populus canescens;2,5;0,0
120;Ash spp;3,2;0,0
122;White mulberry;4,8;0,0
124;Plum spp;77,3;0,0
127;Populus canescens;2,5;0,0
128;European ash;3,5;0,0
131;Populus canescens;2,5;0,0
133;Common fig;3,6;0,0
135;Black locust;57,7;0,0
142;Common fig;272,4;0,0
149;Common fig;272,4;0,0
150;Common fig;272,4;0,0
160;European ash;3,5;0,0
161;Hedge maple;4,1;0,0
165;English oak;14,8;0,0
169;English oak;14,8;0,0
171;English oak;14,8;0,0
173;English oak;14,8;0,0
174;English oak;14,8;0,0
176;English oak;14,8;0,0
184;European ash;3,5;0,0
186;Hedge maple;4,1;0,0
194;Hedge maple;4,1;0,0
196;Hedge maple;4,1;0,0
199;Sweet cherry;4,5;0,0
201;Hedge maple;4,1;0,0
206;European ash;3,5;0,0
208;Hedge maple;4,1;0,0
213;European hornbeam;10,8;0,0
214;Hedge maple;4,1;0,0
218;Hedge maple;4,1;0,0
220;Hedge maple;4,1;0,0
221;English oak;14,8;0,0
225;English oak;14,8;0,0
227;English oak;14,8;0,0
228;European ash;3,5;0,0
229;English oak;14,8;0,0
231;European ash;3,5;0,0
237;European ash;3,5;0,0
242;Hawthorn spp;3,4;0,0
260;Plum spp;77,3;0,0
261;Plum spp;5,3;0,0
266;Plum spp;5,3;0,0
280;Blackthorn;77,3;0,0
295;Blackthorn;418,2;0,0
305;English walnut;1.050,4;0,0
315;Common pear;332,0;0,0
320;Common plum;77,3;0,0
333;Common plum;5,3;0,0
345;Common fig;272,4;0,0
347;Common fig;272,4;0,0
361;Common plum;5,3;0,0
367;Common plum;5,3;0,0
368;Common plum;5,3;0,0
370;Common plum;5,3;0,0
376;Common plum;5,3;0,0
380;Common plum;5,3;0,0
394;Common plum;5,3;0,0
395;Common plum;5,3;0,0
397;Tamarisk spp;4,0;0,0
399;Common plum;5,3;0,0
402;Tamarisk spp;4,0;0,0
